Character	Pinyin	Tone	Meaning	Story
史	shǐ	3	History	History hand mouth bends down drooping saying "Shi"!
更	gèng	4	even more	Even more sun history commands "Geng!" sharply further!
硬	yìng	4	hard (like material)	Hard stone more yells "Ying!" sharply firm!
又	yòu	4	again	Again hand commands "Yo!" sharply repeating!
友	yǒu	3	Friend	A friend again hand bends down drooping saying "Yo"!
雙	shuāng	1	Pair	A pair two birds sing "Shwang!" cheerfully matching!
隻	zhī	1	One of a Pair	One of a pair bird sings "Zhi!" cheerfully single!
護	hù	4	to protect	To protect words pair commands "Hoo!" sharply guarding!
獲	huò	4	to seize	To seize dog grass bird yells "Hwoh!" sharply catching!
觀	guān	1	to observe	To observe again see sings "Gwan!" cheerfully watching!
歡	huān	1	joyous	Joyous again lack sings "Hwan!" cheerfully happy!
投	tóu	2	to throw	To throw hand reach questions "Toe? Tossing?" curiously!
沒	méi	2	to not have	To not have water reach questions "May? None?" curiously!
設	shè	4	to establish	To establish words reach yells "Shuh!" sharply founding!
股	gǔ	3	Thigh	A thigh flesh ancient bends down drooping saying "Goo"!
支	zhī	1	Offshoot	An offshoot branch sings "Zhi!" cheerfully dividing!
技	jì	4	Skill	Skill hand branch commands "Ji!" sharply able!
枝	zhī	1	Branch	Branch tree offshoot sings "Zhi!" cheerfully extending!
叔	shú	2	(Paternal Older) Uncle	Uncle small hand questions "Shoo? Uncle?" curiously!
督	dū	1	Superintend	Superintend uncle eye sings "Doo!" cheerfully supervising!
寂	jí	2	lonely	Lonely house uncle questions "Ji? Alone?" curiously!
反	fǎn	3	against	Against cliff hand bends down drooping saying "Fan"!
板	bǎn	3	Plank	A plank tree against bends down drooping saying "Ban"!
返	fǎn	3	to go back	To go back walk against bends down drooping saying "Fan"!
派	pài	4	Faction	A faction water against commands "Pai!" sharply grouping!
脈	mài	4	Blood Vessels	Blood vessels flesh against yell "Mai!" sharply flowing!
爪	zhǎo	3	a Claw	A claw bends down drooping saying "Zhao"!
抓	zhuā	1	to grab	To grab hand claw sings "Zhwa!" cheerfully catching!
采	cǎi	3	to pluck	To pluck claw tree bends down drooping saying "Tsai"!
採	cǎi	3	to pick	To pick hand pluck bends down drooping saying "Tsai"!
菜	cài	4	Vegetable	Vegetable grass pick commands "Tsai!" sharply growing!
受	shòu	4	to accept	To accept claw hand commands "Show!" sharply receiving!
授	shòu	4	to confer	To confer hand accept yells "Show!" sharply granting!
愛	ài	4	Love	Love claw heart foot commands "Eye!" sharply caring!
雄	xióng	2	grand	A grand bird questions "Shyong? Majestic?" curiously!
台	tái	2	Platform	A platform mouth sings "Tai?" cheerfully questioning!
治	zhì	4	to govern	To govern water platform commands "Zhi!" sharply ruling!
始	shǐ	3	to commence	To commence woman platform bends down drooping saying "Shi"!
去	qù	4	to go	To go private earth commands "Chu!" sharply leaving!
法	fǎ	3	Method	Method water go bends down drooping saying "Fa"!
至	zhì	4	until	Until arrow earth commands "Zhi!" sharply arriving!
室	shì	4	Room	A room house until yells "Shi!" sharply enclosed!
到	dào	4	to arrive	To arrive until knife commands "Dao!" sharply reaching!
互	hù	4	mutual	Mutual together commands "Hoo!" sharply reciprocal!
充	chōng	1	sufficient	Sufficient child sings "Chong!" cheerfully full!
育	yù	4	Education	Education roof moon flesh yells "Yu!" sharply teaching!
流	liú	2	to flow	To flow water education questions "Lyo? Flowing?" curiously!
梳	shū	1	Comb	A comb tree flow sings "Shoo!" cheerfully grooming!
山	shān	1	Mountain	Mountains rise cheerfully singing "Shan!" high and proud!
出	chū	1	to exit	To exit mountain sings "Choo!" cheerfully emerging!
擊	jī	2	to beat	To beat hand car questions "Ji? Strike?" curiously!
密	mì	4	secret	Secret mountain needle commands "Mee!" sharply hidden!
入	rù	4	to enter	To enter down commands "Roo!" sharply going in!
內	nèi	4	internal	Internal person enter yells "Nay!" sharply inside!
吶	nà	5	to holler	To holler mouth internal says "na" neutrally shouting!
分	fēn	1	Part	A part divides cheerfully singing "Fen!" high!
貧	pín	2	impoverished	Impoverished part shellfish questions "Pin? So poor?" curiously!
公	gōng	1	public	Public person divide sings "Gong!" cheerfully shared!
松	sōng	1	Pine Tree	Pine tree public sings "Song!" cheerfully evergreen!
谷	gǔ	3	Valley	Valley mouth bends down drooping saying "Goo"!
浴	yù	4	to bathe	To bathe water valley commands "Yu!" sharply washing!
欲	yù	4	to desire	To desire valley lack yells "Yu!" sharply wanting!
慾	yù	4	the Lust	The lust heart desire commands "Yu!" sharply craving!
容	róng	2	to contain	To contain roof valley questions "Rong? Fit inside?" curiously!
溶	róng	2	to dissolve	To dissolve water contain questions "Rong? Melting?" curiously!
當	dāng	1	to work as	To work as field small sings "Dang!" cheerfully employed!
檔	dàng	3	Files	Files tree work as bend down drooping saying "Dang"!
黨	dǎng	3	Political Party	Political party black work as bend down drooping saying "Dang"!
常	cháng	2	often	Often towel work as questions "Chang? Frequently?" curiously!
堂	táng	2	Main Room	Main room earth often questions "Tang? Central hall?" curiously!
皮	pí	2	Covering	Covering hand claw questions "Pi? Skin?" curiously!
波	bō	1	Waves	Waves water skin sings "Bwo!" cheerfully rippling!
婆	pó	2	Old Woman	Old woman skin questions "Pwo? Grandmother?" curiously!
破	pò	4	to break	To break stone skin commands "Pwoh!" sharply shattered!
被	bèi	4	a Quilt	A quilt clothes skin yells "Bay!" sharply covering!
歹	dǎi	3	malicious	Malicious death bends down drooping saying "Dai"!
列	liè	4	to line up	To line up dagger commands "Lieh!" sharply arrayed!
烈	liè	4	intense	Intense fire line up yells "Lieh!" sharply fierce!
死	sǐ	3	Death	Death dagger bends down drooping saying "Si"!
葬	zàng	4	to inter	To inter grass death commands "Zang!" sharply burying!
耳	ěr	3	Ear	An ear bends down drooping saying "Er"!
取	qǔ	3	to take	To take ear hand bends down drooping saying "Chu"!
趣	qù	4	an Interest	An interest take walk commands "Chu!" sharply engaging!
最	zuì	4	most	Most ear take sun yells "Zway!" sharply utmost!
職	zhí	2	Job	A job ear sound questions "Zhi? Working?" curiously!
聖	shèng	4	holy	Holy ear king commands "Sheng!" sharply divine!
敢	gǎn	3	brave	Brave ear strike bends down drooping saying "Gan"!
嚴	yán	2	strict	Strict brave mouth questions "Yan? Severe?" curiously!
曼	màn	4	drawn out	Drawn out sun eye commands "Man!" sharply extended!
慢	màn	4	slow	Slow heart drawn out yells "Man!" sharply gradual!
漫	màn	4	to overflow	To overflow water slow commands "Man!" sharply flooding!
環	huán	2	a Ring	A ring jade surround questions "Hwan? Circular?" curiously!
還	huán	2	to give back	To give back walk ring questions "Hwan? Return?" curiously!
夫	fū	2	Husband	Husband big questions "Foo? My man?" curiously!
規	guī	1	Regulations	Regulations see husband sings "Gway!" cheerfully rules!
替	tì	4	to replace	To replace two husband day commands "Ti!" sharply substituting!
失	shī	1	to lose	To lose husband hand sings "Shi!" sadly high!
臣	chén	2	Feudal Official	Feudal official bound questions "Chen? Serving?" curiously!
臨	lín	2	to be about to	To be about to official goods questions "Lin? Soon?" curiously!
賢	xián	2	worthy	Worthy official shellfish questions "Shian? Virtuous?" curiously!
堅	jiān	1	firm	Firm earth official sings "Jian!" cheerfully solid!
力	lì	4	Power	Power commands "Lee!" sharply strong!
另	lìng	4	another	Another power commands "Ling!" sharply different!
別	bié	2	don't	Don't another sword questions "Bieh? Please not?" curiously!
拐	guǎi	3	to turn	To turn hand separate bends down drooping saying "Gwai"!
男	nán	2	Male	Male field power questions "Nan? Man?" curiously!
功	gōng	1	Achievement	Achievement work power sings "Gong!" cheerfully accomplished!
奴	nú	2	Slave	A slave woman power questions "Noo? Serve?" curiously!
努	nǔ	3	to toil	To toil slave power bends down drooping saying "Noo"!
加	jiā	1	to add	To add power mouth sings "Jia!" cheerfully increasing!
賀	hè	4	to congratulate	To congratulate add shellfish commands "Huh!" sharply celebrating!
架	jià	4	Shelf	A shelf add tree yells "Jia!" sharply supporting!
協	xié	2	to cooperate	To cooperate ten power questions "Shieh? Together?" curiously!
行	háng	2	Line Of Business	Line of business step questions "Hang? What trade?" curiously!
律	lǜ	4	Law	Law walk step commands "Lyu!" sharply ruling!
復	fù	4	to recover	To recover walk clothes day commands "Foo!" sharply restoring!
得	dé	2	must	Must step hand questions "Duh? Have to?" curiously!
待	dài	4	to treat	To treat step temple commands "Dai!" sharply serving!
往	wǎng	3	toward	Going toward step king bends down drooping saying "Wang"!
德	dé	2	Morality	Morality step go straight questions "Duh? Virtuous?" curiously!
聽	tīng	1	to listen	To listen ear ten eye sings "Ting!" cheerfully hearing!
廳	tīng	1	Hall	Hall cliff listen sings "Ting!" cheerfully grand!
微	wēi	2	tiny	Tiny step mountain questions "Way? So small?" curiously!
街	jiē	1	Street	Street step earth sings "Jieh!" cheerfully paved!
禾	hé	2	Standing Grain	Standing grain questions "Huh? Harvest?" curiously!
程	chéng	2	Journey	Journey grain king questions "Cheng? How far?" curiously!
和	hé	2	Harmony	Harmony grain mouth questions "Huh? Peace?" curiously!
移	yí	2	to shift	To shift grain many questions "Yi? Moving?" curiously!
秋	qiū	1	Autumn	Autumn grain fire sings "Chyo!" cheerfully harvest!
愁	chóu	2	gloomy	Gloomy heart autumn questions "Cho? Sad?" curiously!
利	lì	4	a Profit	A profit grain knife commands "Lee!" sharply earning!
香	xiāng	1	Perfume	Perfume grain sun sings "Shyang!" cheerfully fragrant!
季	jì	4	Seasons	Seasons grain child commands "Ji!" sharply quarterly!
委	wěi	3	Committee	Committee grain woman bends down drooping saying "Way"!
秀	xiù	4	elegant	Elegant grain private commands "Shyo!" sharply refined!
透	tòu	4	to penetrate	To penetrate walk elegant yells "Toe!" sharply piercing!
誘	yòu	4	to entice	To entice words penetrate commands "Yo!" sharply tempting!
歷	lì	4	Experience	Experience cliff rice commands "Lee!" sharply undergone!
米	mǐ	3	Rice	Rice bends down drooping saying "Mee"!
迷	mí	2	lost	Lost walk rice questions "Mee? Where am I?" curiously!
謎	mí	2	Riddle	Riddle words lost questions "Mee? What answer?" curiously!
類	lèi	4	the Kind	The kind rice head dog commands "Lay!" sharply categorized!
竹	zhú	2	Bamboo	Bamboo questions "Zhoo? Growing?" curiously!
笑	xiào	4	to laugh	To laugh bamboo young commands "Shyao!" sharply giggling!
箱	xiāng	1	Box	A box bamboo fragrance sings "Shyang!" cheerfully stored!
筆	bǐ	3	Pen	A pen bamboo hand bends down drooping saying "Bee"!
等	děng	3	etc.	Etc. bamboo temple bends down drooping saying "Dung"!
算	suàn	4	to calculate	To calculate bamboo eyes commands "Swan!" sharply computing!
答	dá	2	to answer	To answer bamboo fit questions "Da? Reply?" curiously!
策	cè	4	Strategy	Strategy bamboo tree commands "Tsuh!" sharply planning!
人	rén	2	Person	A person questions "Ren? Who?" curiously!
囚	qiú	2	Prisoner	A prisoner person trapped questions "Chyo? Release?" curiously!
份	fèn	4	Portion	Portion person part commands "Fen!" sharply shared!
佔	zhàn	4	to occupy	To occupy person divine yells "Zhan!" sharply possessing!
傢	jiā	1	Furniture	Furniture person house sings "Jia!" cheerfully furnished!
你	nǐ	3	you	You person small bends down drooping saying "Nee"!
您	nín	2	you (respectful)	You respectful person heart questions "Nin? Sir?" curiously!
什	shén	2	what?	What person ten questions "Shen? Which?" curiously!
條	tiáo	2	a Strip	A strip person long questions "Tiao? Thin piece?" curiously!
值	zhí	2	Value	Value person straight questions "Zhi? Worth?" curiously!
做	zuò	4	to make	To make person ancient commands "Zwoh!" sharply creating!
但	dàn	4	however	However person once yells "Dan!" sharply yet!
住	zhù	4	to dwell	To dwell person master commands "Zhoo!" sharply residing!
位	wèi	4	Position	Position person stand yells "Way!" sharply ranked!
件	jiàn	4	Piece	Piece person cow commands "Jian!" sharply item!
仍	réng	2	still	Still person dagger questions "Reng? Yet?" curiously!
他	tā	1	he	He person also sings "Ta!" cheerfully him!
休	xiū	1	to rest	To rest person tree sings "Shyo!" cheerfully relaxing!
信	xìn	4	Faith	Faith person words commands "Shin!" sharply believing!
依	yī	1	to depend on	To depend on person clothes sings "Yi!" cheerfully relying!
例	lì	4	Example	Example person stand yells "Lee!" sharply instance!
個	gè	4	individual	Individual person solid commands "Guh!" sharply single!
健	jiàn	4	healthy	Healthy person build yells "Jian!" sharply strong!
停	tíng	2	to halt	To halt person pavilion questions "Ting? Stop?" curiously!
倒	dǎo	3	upside down	Upside down person arrive bends down drooping saying "Dao"!
仁	rén	2	Benevolence	Benevolence person two questions "Ren? Kind?" curiously!
優	yōu	1	excellent	Excellent person worried sings "Yo!" cheerfully superior!
傷	shāng	1	a Wound	A wound person trade sings "Shang!" painfully high!
保	bǎo	3	to safeguard	To safeguard person protect bends down drooping saying "Bao"!
堡	bǎo	3	Fort	A fort earth safeguard bends down drooping saying "Bao"!
付	fù	4	to pay	To pay person hand commands "Foo!" sharply giving!
府	fǔ	3	Government Office	Government office building pay bends down drooping saying "Foo"!
俯	fǔ	3	to bow one's head	To bow person office bends down drooping saying "Foo"!
代	dài	4	to substitute for	To substitute person weapon commands "Dai!" sharply replacing!
袋	dài	4	Bag	A bag clothes substitute yells "Dai!" sharply holding!
化	huà	4	to transform	To transform person change commands "Hwa!" sharply morphing!
花	huā	1	Flower	Flower grass transform sings "Hwa!" cheerfully blooming!
貨	huò	4	Commodities	Commodities transform shellfish commands "Hwoh!" sharply trading!
何	hé	2	what/which/who/where/why?	What person mouth questions "Huh? Who where?" curiously!
便	biàn	4	convenient	Convenient person change commands "Bian!" sharply handy!
丈	zhàng	4	100 Chinese Inches	100 Chinese inches commands "Zhang!" sharply measuring!
使	shǐ	3	to use	To use person officer bends down drooping saying "Shi"!
久	jiǔ	3	long time	Long time person bend down drooping saying "Jyo"!
畝	mǔ	3	Chinese Acre	Chinese acre field long time bends down drooping saying "Moo"!
丙	bǐng	3	third	Third one inside bends down drooping saying "Bing"!
柄	bǐng	3	a Handle	A handle tree third bends down drooping saying "Bing"!
肉	ròu	4	Meat	Meat person inside commands "Ro!" sharply meaty!
腐	fǔ	3	rotten	Rotten meat office bends down drooping saying "Foo"!
眾	zhòng	4	Multitude	Multitude three people yell "Zhong!" sharply many!
坐	zuò	4	to sit	To sit two people earth commands "Zwoh!" sharply seated!
座	zuò	4	Seat	A seat building sit yells "Zwoh!" sharply positioned!
檢	jiǎn	3	to examine	To examine tree check bends down drooping saying "Jian"!
臉	liǎn	3	a Face	A face flesh check bends down drooping saying "Lian"!
來	lái	2	to come	To come wheat questions "Lai? Arriving?" curiously!
麥	mài	4	Wheat	Wheat walking grain commands "Mai!" sharply growing!
喝	hē	1	to drink	To drink mouth wheat sings "Huh!" cheerfully gulping!
渴	kě	3	thirsty	Thirsty water drink bends down drooping saying "Kuh"!
任	rèn	4	to appoint	To appoint person burden commands "Ren!" sharply assigning!
廷	tíng	2	Royal Court	Royal court questions "Ting? Palace?" curiously!
庭	tíng	2	Court Of Law	Court of law building royal court questions "Ting? Trial?" curiously!
以	yǐ	3	by means of	By means of resembles bends down drooping saying "Yi"!
似	sì	4	similar	Similar person by means commands "Sih!" sharply alike!
併	bìng	4	to combine	To combine person piece commands "Bing!" sharply joining!
拼	pīn	1	to piece together	To piece together hand combine sings "Pin!" cheerfully assembling!
呂	lǚ	3	Spine	Spine two mouths bend down drooping saying "Lyu"!
侶	lǚ	3	an Associate	An associate person spine bends down drooping saying "Lyu"!
榮	róng	2	Glory	Glory grass fire questions "Rong? Honor?" curiously!
勞	láo	2	Labor	Labor fire power questions "Lao? Working?" curiously!
營	yíng	2	a Camp	A camp fire building questions "Ying? Army?" curiously!
善	shàn	4	virtuous	Virtuous sheep mouth commands "Shan!" sharply good!
年	nián	2	Year	Year one thousand questions "Nian? How long?" curiously!
夜	yè	4	Night	Night person liquid commands "Yeh!" sharply dark!
液	yè	4	Liquid	Liquid water night yells "Yeh!" sharply flowing!
喚	huàn	4	to call out	To call out mouth exchange commands "Hwan!" sharply shouting!
換	huàn	4	to exchange	To exchange hand call out yells "Hwan!" sharply trading!
旅	lǚ	3	to travel	To travel flag direction bends down drooping saying "Lyu"!
施	shī	1	to execute	To execute to travel sings "Shi!" cheerfully doing!
游	yóu	2	to go swimming	To go swimming water move questions "Yo? Swimming?" curiously!
遊	yóu	2	to tour	To tour walk swim questions "Yo? Wandering?" curiously!
勿	wù	4	not	Not commands "Woo!" sharply negating!
忽	hū	1	suddenly	Suddenly heart not sings "Hoo!" cheerfully abrupt!
物	wù	4	Thing	Thing cow not yells "Woo!" sharply object!
易	yì	4	easy	Easy sun moon commands "Yi!" sharply simple!
賜	cì	4	to grant	To grant easy shellfish yells "Tsih!" sharply bestowing!
屍	shī	1	Corpse	A corpse body sings "Shi!" sadly high!
尼	ní	2	Nun	A nun corpse questions "Nee? Religious?" curiously!
呢	ne	5	Woolen Cloth	Woolen cloth mouth nun says "nuh" neutrally textured!
泥	ní	2	Mud	Mud water nun questions "Nee? Wet earth?" curiously!
屋	wū	1	Habitation	Habitation corpse至 sings "Woo!" cheerfully sheltered!
握	wò	4	to grip	To grip hand house commands "Woh!" sharply grasping!
居	jū	1	to reside	To reside corpse ancient sings "Jyu!" cheerfully dwelling!
鋸	jù	4	a Saw	A saw gold reside yells "Jyu!" sharply cutting!
層	céng	2	Story	Story corpse question "Tseng? Which floor?" curiously!
局	jú	2	Bureau	Bureau corpse sentence questions "Jyu? Office?" curiously!
戶	hù	4	Door	A door commands "Hoo!" sharply entry!
房	fáng	2	Domicile	Domicile door direction questions "Fang? House?" curiously!
雇	gù	4	to hire	To hire bird door commands "Goo!" sharply employing!
顧	gù	4	to look back	To look back hire page yells "Goo!" sharply reviewing!
示	shì	4	to show	To show altar commands "Shi!" sharply displaying!
社	shè	4	Society	Society show earth yells "Shuh!" sharply group!
視	shì	4	to inspect	To inspect show see commands "Shi!" sharply examining!
福	fú	2	Happiness	Happiness show one mouth questions "Foo? Blessed?" curiously!
禁	jìn	4	to prohibit	To prohibit show forest commands "Jin!" sharply forbidding!
襟	jīn	1	Front of a Garment	Front of garment clothes prohibit sings "Jeen!" cheerfully lapel!
宗	zōng	1	Religion	Religion roof show sings "Zong!" cheerfully sect!
崇	chóng	2	to worship	To worship mountain religion questions "Chong? Revere?" curiously!
祭	jì	4	to offer sacrifice	To offer sacrifice show flesh commands "Ji!" sharply ritual!
察	chá	2	to scrutinize	To scrutinize sacrifice roof questions "Cha? Examine?" curiously!
擦	cā	1	to scrub	To scrub hand scrutinize sings "Tsa!" cheerfully wiping!
由	yóu	2	Wherefore	Wherefore field questions "Yo? Why?" curiously!
抽	chōu	1	to draw out	To draw out hand wherefore sings "Cho!" cheerfully extracting!
油	yóu	2	Oil	Oil water wherefore questions "Yo? Lubricating?" curiously!
甲	jiǎ	3	first	First shell bends down drooping saying "Jia"!
押	yā	1	to pawn	To pawn hand first sings "Ya!" cheerfully depositing!
申	shēn	1	to express	To express day middle sings "Shen!" cheerfully stating!
伸	shēn	1	to extend	To extend person express sings "Shen!" cheerfully stretching!
神	shén	2	Gods	Gods show express questions "Shen? Divine?" curiously!
果	guǒ	3	Fruit	Fruit field tree bends down drooping saying "Gwoh"!
課	kè	4	Lesson	Lesson words fruit commands "Kuh!" sharply teaching!
顆	kē	1	Granule	Granule fruit page sings "Kuh!" cheerfully tiny!
斤	jīn	1	a Catty	A catty ax sings "Jeen!" cheerfully weighing!
所	suǒ	3	a Place	A place door ax bends down drooping saying "Swoh"!
近	jìn	4	near	Near walk ax commands "Jin!" sharply close!
斬	zhǎn	3	hew	Hew car ax bends down drooping saying "Zhan"!
暫	zhàn	4	temporary	Temporary sun hew commands "Zhan!" sharply brief!
漸	jiàn	4	gradually	Gradually water temporary yells "Jian!" sharply slowly!
質	zhì	2	Quality	Quality ax shellfish questions "Zhi? Grade?" curiously!
斥	chì	4	to reprimand	To reprimand dot ax commands "Chi!" sharply scolding!
訴	sù	4	to accuse	To accuse words reprimand yells "Soo!" sharply charging!
乍	zhà	4	for the first time	For the first time commands "Zha!" sharply initially!
怎	zěn	3	how?	How for first time heart bends down drooping saying "Zen"!
昨	zuó	2	Yesterday	Yesterday sun first time questions "Zwoh? Past?" curiously!
作	zuò	4	to do	To do person first time commands "Zwoh!" sharply making!
雪	xuě	3	the Snow	The snow rain broom bends down drooping saying "Shueh"!
急	jí	2	anxious	Anxious reach heart questions "Ji? Worried?" curiously!
尋	xún	2	to seek	To seek roof claw inch questions "Shun? Looking for?" curiously!
婦	fù	4	Married Woman	Married woman woman broom commands "Foo!" sharply wife!
掃	sǎo	3	to sweep	To sweep hand broom bends down drooping saying "Sao"!
錄	lù	4	to record	To record gold broom commands "Loo!" sharply documenting!
碌	lù	4	commonplace	Commonplace stone record yells "Loo!" sharply ordinary!
爭	zhēng	1	to contend	To contend claw hand sings "Zheng!" cheerfully fighting!
淨	jìng	4	clean	Clean water contend commands "Jing!" sharply purified!
事	shì	4	Matter	Matter hand one commands "Shi!" sharply affair!
唐	táng	2	Tang	Tang wide mouth questions "Tang? Dynasty?" curiously!
糖	táng	2	Sugar	Sugar rice Tang questions "Tang? Sweet?" curiously!
康	kāng	1	hale	Hale roof grain sings "Kang!" cheerfully healthy!
尹	yǐn	3	Overseer	Overseer hand bends down drooping saying "Yin"!
伊	yī	1	Queen Elizabeth	Queen Elizabeth person overseer sings "Yi!" cheerfully regal!
君	jūn	1	Monarch	Monarch mouth overseer sings "June!" cheerfully ruling!
裙	qún	2	Skirt	Skirt clothes monarch questions "Chun? Dress?" curiously!
群	qún	2	Crowd	Crowd sheep monarch questions "Chun? Many?" curiously!
而	ér	2	and	And beard questions "Er? Also?" curiously!
需	xū	1	to need	To need rain and sings "Shyu!" cheerfully requiring!
儒	rú	2	Confucian	Confucian person need questions "Roo? Scholar?" curiously!
瑞	ruì	4	auspicious	Auspicious jade mountain commands "Rway!" sharply lucky!
端	duān	1	upright	Upright stand mountain sings "Dwan!" cheerfully proper!
曲	qū	1	bent	Bent sings "Chu!" cheerfully curved!
斗	dǒu	3	Big Dipper	Big dipper ten bends down drooping saying "Doe"!
料	liào	4	Material	Material rice dipper commands "Liao!" sharply stuff!
科	kē	1	Academic Discipline	Academic discipline grain dipper sings "Kuh!" cheerfully field!
用	yòng	4	to utilize	To utilize door commands "Yong!" sharply using!
深	Shen	1	deep	deep sings "Shen!" cheerfully!
探	Tan	4	a Spy	a Spy commands "Tan!" yells!
丘	Qiu	1	Hill	Hill sings "Qiu!" cheerfully!
兵	Bing	1	Troops	Troops sings "Bing!" cheerfully!
絲	Si	1	Silk	Silk sings "Si!" cheerfully!
線	Xian	4	Line	Line commands "Xian!" yells!
維	Wei	2	to maintain	to maintain questions "Wei? Why?" curiously!
羅	Luo	2	Silk Gauze	Silk Gauze questions "Luo? Why?" curiously!
續	Xu	4	to continue	to continue commands "Xu!" yells!
統	Tong	3	continuum	continuum bends down drooping saying "Tong"!
給	Gei	3	to give	to give bends down drooping saying "Gei"!
結	Jie	2	to tie	to tie questions "Jie? Why?" curiously!
終	Zhong	1	end	end sings "Zhong!" cheerfully!
級	Ji	2	a Rank	a Rank questions "Ji? Why?" curiously!
紀	Ji	4	Epoch	Epoch commands "Ji!" yells!
紅	Hong	2	red	red questions "Hong? Why?" curiously!
約	Yue	1	to make an appointment	to make an appointment sings "Yue!" cheerfully!
細	Xi	4	fine	fine commands "Xi!" yells!
緊	Jin	3	tight	tight bends down drooping saying "Jin"!
織	Zhi	1	to weave	to weave sings "Zhi!" cheerfully!
網	Wang	3	Net	Net bends down drooping saying "Wang"!
綠	Lu	4	green	green commands "Lu!" yells!
彎	Wan	1	curved	curved sings "Wan!" cheerfully!
灣	Wan	1	Bay	Bay sings "Wan!" cheerfully!
戀	Lian	4	to be enamored of	to be enamored of commands "Lian!" yells!
變	Bian	4	to change	to change commands "Bian!" yells!
經	Jing	1	Scripture	Scripture sings "Jing!" cheerfully!
輕	Qing	1	lightweight	lightweight sings "Qing!" cheerfully!
後	Hou	4	behind	behind commands "Hou!" yells!
幾	Ji	3	how many?	how many? bends down drooping saying "Ji"!
機	Ji	1	Machine	Machine sings "Ji!" cheerfully!
斷	Duan	4	to sever	to sever commands "Duan!" yells!
繼	Ji	4	to carry on	to carry on commands "Ji!" yells!
顯	Xian	3	obvious	obvious bends down drooping saying "Xian"!
樂	Yue	4	Music	Music commands "Yue!" yells!
藥	Yao	4	Medicine	Medicine commands "Yao!" yells!
雞	Ji	1	Chicken	Chicken sings "Ji!" cheerfully!
麼	Me	5	[interrogative suffix]; [pause marker]	[interrogative suffix]; [pause marker] says "Me" neutrally!
系	Xi	4	Lineage	Lineage commands "Xi!" yells!
係	Xi	4	related to	related to commands "Xi!" yells!
孫	Sun	1	Grandchild	Grandchild sings "Sun!" cheerfully!
卻	Que	4	to withdraw (retreat, not banks)	to withdraw (retreat, not banks) commands "Que!" yells!
腳	Jiao	3	Foot	Foot bends down drooping saying "Jiao"!
服	Fu	2	Apparel	Apparel questions "Fu? Why?" curiously!
命	Ming	4	Fate	Fate commands "Ming!" yells!
留	Liu	2	to stay	to stay questions "Liu? Why?" curiously!
溜	Liu	1	to slide	to slide sings "Liu!" cheerfully!
聊	Liao	2	to chat	to chat questions "Liao? Why?" curiously!
柳	Liu	3	Willow	Willow bends down drooping saying "Liu"!
令	Ling	4	Orders	Orders commands "Ling!" yells!
冷	Leng	3	cold	cold bends down drooping saying "Leng"!
零	Ling	2	zero	zero questions "Ling? Why?" curiously!
領	Ling	3	Collar	Collar bends down drooping saying "Ling"!
通	Tong	1	to communicate	to communicate sings "Tong!" cheerfully!
勇	Yong	3	courageous	courageous bends down drooping saying "Yong"!
犯	Fan	4	Criminal	Criminal commands "Fan!" yells!
危	Wei [普], wei [國]	1	Danger	Danger sings "Wei [普], wei [國]!" cheerfully!
脆	Cui	4	fragile	fragile commands "Cui!" yells!
印	Yin	4	Print	Print commands "Yin!" yells!
興	Xing	4	Excitement	Excitement commands "Xing!" yells!
酒	Jiu	3	Liquor	Liquor bends down drooping saying "Jiu"!
配	Pei	4	to distribute	to distribute commands "Pei!" yells!
酋	Qiu	2	Chieftain	Chieftain questions "Qiu? Why?" curiously!
尊	Zun	1	to venerate	to venerate sings "Zun!" cheerfully!
遵	Zun	1	to abide by	to abide by sings "Zun!" cheerfully!
豆	Dou	4	Beans	Beans commands "Dou!" yells!
頭	Tou	2	Head	Head questions "Tou? Why?" curiously!
短	Duan	3	short	short bends down drooping saying "Duan"!
禮	Li	3	Ceremony	Ceremony bends down drooping saying "Li"!
體	Ti	3	Body	Body bends down drooping saying "Ti"!
鼓	Gu	3	a Drum	a Drum bends down drooping saying "Gu"!
喜	Xi	3	joyful	joyful bends down drooping saying "Xi"!
廚	Chu	2	Kitchen	Kitchen questions "Chu? Why?" curiously!
樹	Shu	4	Timber	Timber commands "Shu!" yells!
血	Xue [普], xie [國]	3	Blood	Blood bends down drooping saying "Xue [普], xie [國]"!
盡	Jin	4	exhausted	exhausted commands "Jin!" yells!
儘	Jin	3	to the utmost	to the utmost bends down drooping saying "Jin"!
蓋	Gai	4	Lid	Lid commands "Gai!" yells!
溫	Wen	1	temperature	temperature sings "Wen!" cheerfully!
監	Jian	1	to supervise	to supervise sings "Jian!" cheerfully!
籃	Lan	2	Basket	Basket questions "Lan? Why?" curiously!
藍	Lan	2	blue	blue questions "Lan? Why?" curiously!
銀	Yin	2	Silver	Silver questions "Yin? Why?" curiously!
跟	Gen	1	Heel	Heel sings "Gen!" cheerfully!
很	Hen	3	very	very bends down drooping saying "Hen"!
根	Gen	1	Root	Root sings "Gen!" cheerfully!
即	Ji	2	immediately	immediately questions "Ji? Why?" curiously!
節	Jie	2	Holiday	Holiday questions "Jie? Why?" curiously!
退	Tui	4	to retreat	to retreat commands "Tui!" yells!
腿	Tui	3	Leg	Leg bends down drooping saying "Tui"!
限	Xian	4	Limit	Limit commands "Xian!" yells!
